City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Reconquista,AR,2022-06-21 14:57:33,-29.15,-59.65,59.7,84,87,8.43
261,Praia Da Vitoria,PT,2022-06-21 14:57:33,38.7333,-27.0667,68.76,82,75,16.75
262,Tungor,RU,2022-06-21 14:57:34,53.3808,142.9564,46.09,97,4,14.61
263,Las Palmas,ES,2022-06-21 14:57:34,28.4204,-14.0131,74.19,65,20,17.27
264,Leningradskiy,RU,2022-06-21 14:57:34,69.3833,178.4167,33.87,93,100,13.62
265,San Andres,CO,2022-06-21 14:56:38,12.5847,-81.7006,84.22,79,75,10.36
266,Ubala,CO,2022-06-21 14:57:35,4.7478,-72.5369,73.53,89,91,2.64
267,Rimouski,CA,2022-06-21 14:55:39,48.4488,-68.524,51.98,63,5,8.21
268,Panguna,PG,2022-06-21 14:58:35,-6.3164,155.4848,66.96,95,31,1.68
269,Nikolskoye,RU,2022-06-21 14:58:35,59.7035,30.7861,64.29,46,14,9.53
270,Fort Nelson,CA,2022-06-21 14:58:36,58.8053,-122.7002,56.79,72,75,2.3
271,Florianopolis,BR,2022-06-21 14:54:11,-27.6146,-48.5012,64.13,96,100,13.8
272,Jalu,LY,2022-06-21 14:58:36,29.0331,21.5482,99.91,15,0,12.1
273,Ahipara,NZ,2022-06-21 14:58:37,-35.1667,173.1667,48.72,84,90,7.02
274,Saint George,US,2022-06-21 14:55:53,37.1041,-113.5841,76.78,17,0,6.91
275,Mpika,ZM,2022-06-21 14:58:37,-11.8343,31.4529,63.14,52,0,7.02
276,Taltal,CL,2022-06-21 14:58:38,-25.4,-70.4833,57.69,63,13,4.47
277,Chokurdakh,RU,2022-06-21 14:58:38,70.6333,147.9167,42.84,41,6,5.46
278,Dwarka,IN,2022-06-21 14:59:53,22.2394,68.9678,84.51,80,30,20.45
279,Henties Bay,NA,2022-06-21 14:59:54,-22.116,14.2845,59.18,68,0,7.25
280,Montoro,ES,2022-06-21 14:59:54,38.0241,-4.3834,82.98,11,92,16.78
281,Pangkalanbuun,ID,2022-06-21 14:59:54,-2.6833,111.6167,74.07,94,100,2.37
282,Guerrero Negro,MX,2022-06-21 14:56:22,27.9769,-114.0611,72.77,55,97,1.14
283,Chibombo,ZM,2022-06-21 14:59:55,-14.6569,28.0706,67.44,41,4,9.91
284,Mikhaylovka,RU,2022-06-21 14:59:55,50.06,43.2379,87.78,42,0,9.08
285,Chuy,UY,2022-06-21 14:59:55,-33.6971,-53.4616,52.75,82,100,5.03
286,Klaksvik,FO,2022-06-21 14:59:56,62.2266,-6.589,49.12,77,97,12.15
287,Caconda,AO,2022-06-21 14:59:56,-13.7333,15.0667,74.03,15,0,11.1
288,Lusambo,CD,2022-06-21 14:59:56,-4.9667,23.45,91.47,30,65,3.6
289,Sauk Rapids,US,2022-06-21 14:59:57,45.5919,-94.1661,75.06,73,4,7.0
290,Coihaique,CL,2022-06-21 14:59:57,-45.5752,-72.0662,22.95,93,0,0.0
291,Darhan,MN,2022-06-21 14:59:58,49.4867,105.9228,60.04,85,52,3.53
292,Kodinsk,RU,2022-06-21 14:59:58,58.6881,99.1844,57.24,53,47,4.03
293,Nemuro,JP,2022-06-21 14:59:58,43.3236,145.575,49.41,93,38,8.39
294,Victoria,HK,2022-06-21 14:59:39,22.2855,114.1577,85.32,83,100,14.0
